entity_id,state,created
sensor.total_house_power,6.00,2020-04-09 16:57:37.144646
sensor.total_house_power,1.00,2020-04-09 17:29:35.752368
sensor.total_house_power,2.00,2020-04-09 17:30:05.863962
sensor.total_house_power,3.00,2020-04-09 17:30:36.863278
sensor.total_house_power,4.00,2020-04-09 17:31:06.941214
sensor.total_house_power,5.00,2020-04-09 17:31:37.051544
sensor.total_house_power,6.00,2020-04-09 17:32:07.192090
sensor.total_house_power,7.00,2020-04-09 17:32:37.386762
sensor.total_house_power,8.00,2020-04-09 17:33:07.527661
sensor.total_house_power,9.00,2020-04-09 17:33:37.592213
sensor.total_house_power,10.00,2020-04-09 17:34:07.721759
sensor.total_house_power,11.00,2020-04-09 17:34:37.872363
sensor.total_house_power,12.00,2020-04-09 17:35:07.951007
sensor.total_house_power,13.00,2020-04-09 17:35:38.104831
sensor.total_house_power,14.00,2020-04-09 17:36:08.353790
sensor.total_house_power,15.00,2020-04-09 17:36:38.468129
sensor.total_house_power,16.00,2020-04-09 17:37:08.558628
sensor.total_house_power,17.00,2020-04-09 17:37:38.692882
sensor.total_house_power,18.00,2020-04-09 17:38:08.831072
sensor.total_house_power,19.00,2020-04-09 17:38:38.911185
sensor.total_house_power,20.00,2020-04-09 17:39:09.087764
sensor.total_house_power,21.00,2020-04-09 17:39:39.223060
sensor.total_house_power,22.00,2020-04-09 17:40:09.309996
sensor.total_house_power,23.00,2020-04-09 17:40:39.496631
sensor.total_house_power,24.00,2020-04-09 17:41:09.611944
sensor.total_house_power,25.00,2020-04-09 17:41:39.746057
sensor.total_house_power,26.00,2020-04-09 17:42:10.052748
sensor.total_house_power,27.00,2020-04-09 17:42:39.962089
sensor.total_house_power,28.00,2020-04-09 17:43:10.183560
sensor.total_house_power,29.00,2020-04-09 17:43:40.242295
sensor.total_house_power,30.00,2020-04-09 17:44:10.383331
sensor.total_house_power,31.00,2020-04-09 17:44:40.503641
sensor.total_house_power,32.00,2020-04-09 17:45:10.628450
sensor.total_house_power,33.00,2020-04-09 17:45:40.798842
sensor.total_house_power,34.00,2020-04-09 17:46:10.914126
sensor.total_house_power,35.00,2020-04-09 17:46:40.976066
sensor.total_house_power,36.00,2020-04-09 17:47:11.156972
sensor.total_house_power,37.00,2020-04-09 17:47:41.213294
sensor.total_house_power,38.00,2020-04-09 17:48:11.382590
sensor.total_house_power,39.00,2020-04-09 17:48:41.526653
sensor.total_house_power,40.00,2020-04-09 17:49:11.631452
sensor.total_house_power,41.00,2020-04-09 17:49:41.754540
sensor.total_house_power,42.00,2020-04-09 17:50:11.876732
sensor.total_house_power,43.00,2020-04-09 17:50:42.003103
sensor.total_house_power,44.00,2020-04-09 17:51:12.147676
sensor.total_house_power,45.00,2020-04-09 17:51:42.319802
sensor.total_house_power,46.00,2020-04-09 17:52:12.456535
sensor.total_house_power,47.00,2020-04-09 17:52:42.570393
sensor.total_house_power,48.00,2020-04-09 17:53:12.772347
sensor.total_house_power,49.00,2020-04-09 17:53:42.847650
sensor.total_house_power,50.00,2020-04-09 17:54:12.996552
sensor.total_house_power,51.00,2020-04-09 17:54:43.150809
sensor.total_house_power,52.00,2020-04-09 17:55:13.227567
sensor.total_house_power,53.00,2020-04-09 17:55:43.435045
sensor.total_house_power,54.00,2020-04-09 17:56:13.474115
sensor.total_house_power,55.00,2020-04-09 17:56:43.598386
sensor.total_house_power,56.00,2020-04-09 17:57:13.716325
sensor.total_house_power,57.00,2020-04-09 17:57:43.841686
sensor.total_house_power,58.00,2020-04-09 17:58:13.963973
sensor.total_house_power,59.00,2020-04-09 17:58:44.099524
sensor.total_house_power,60.00,2020-04-09 17:59:14.203992
sensor.total_house_power,61.00,2020-04-09 17:59:44.313985
sensor.total_house_power,62.00,2020-04-09 18:00:14.416099
sensor.total_house_power,63.00,2020-04-09 18:00:44.537312
sensor.total_house_power,64.00,2020-04-09 18:01:14.684826
sensor.total_house_power,65.00,2020-04-09 18:01:44.810428
sensor.total_house_power,66.00,2020-04-09 18:02:14.924302
sensor.total_house_power,67.00,2020-04-09 18:02:45.036178
sensor.total_house_power,68.00,2020-04-09 18:03:15.180717
sensor.total_house_power,69.00,2020-04-09 18:03:45.380004
sensor.total_house_power,70.00,2020-04-09 18:04:15.411564
sensor.total_house_power,71.00,2020-04-09 18:04:45.524207
sensor.total_house_power,72.00,2020-04-09 18:05:15.672327
sensor.total_house_power,73.00,2020-04-09 18:05:45.841348
sensor.total_house_power,74.00,2020-04-09 18:06:15.877899
sensor.total_house_power,75.00,2020-04-09 18:06:45.973843
sensor.total_house_power,76.00,2020-04-09 18:07:16.132309
sensor.total_house_power,77.00,2020-04-09 18:07:46.240420
sensor.total_house_power,78.00,2020-04-09 18:08:16.370152
sensor.total_house_power,79.00,2020-04-09 18:08:46.484907
sensor.total_house_power,80.00,2020-04-09 18:09:16.592586
sensor.total_house_power,1.00,2020-04-10 00:23:47.186627
sensor.total_house_power,2.00,2020-04-10 02:34:08.542717
sensor.total_house_power,3.00,2020-04-10 02:34:38.666060
sensor.total_house_power,4.00,2020-04-10 02:35:08.815896
sensor.total_house_power,5.00,2020-04-10 02:35:38.867052
sensor.total_house_power,6.00,2020-04-10 02:36:08.966378
sensor.total_house_power,7.00,2020-04-10 02:36:39.112011
sensor.total_house_power,8.00,2020-04-10 02:37:09.161855
sensor.total_house_power,9.00,2020-04-10 02:37:39.328010
sensor.total_house_power,10.00,2020-04-10 02:38:09.369404
sensor.total_house_power,11.00,2020-04-10 02:38:39.480931
sensor.total_house_power,12.00,2020-04-10 02:39:09.569803
sensor.total_house_power,13.00,2020-04-10 02:39:39.675083
sensor.total_house_power,14.00,2020-04-10 02:40:09.786271
sensor.total_house_power,15.00,2020-04-10 02:40:39.901235
sensor.total_house_power,16.00,2020-04-10 02:41:09.993399
sensor.total_house_power,17.00,2020-04-10 02:41:40.089347
sensor.total_house_power,18.00,2020-04-10 02:42:10.198012
sensor.total_house_power,19.00,2020-04-10 02:42:40.322701
sensor.total_house_power,20.00,2020-04-10 02:43:10.410945
sensor.total_house_power,21.00,2020-04-10 02:43:40.512149
sensor.total_house_power,22.00,2020-04-10 02:44:10.608457
sensor.total_house_power,23.00,2020-04-10 02:44:40.683337
sensor.total_house_power,24.00,2020-04-10 02:45:10.807613
sensor.total_house_power,25.00,2020-04-10 02:45:41.122120
sensor.total_house_power,26.00,2020-04-10 02:46:11.036667
sensor.total_house_power,27.00,2020-04-10 02:46:41.148079
sensor.total_house_power,28.00,2020-04-10 02:47:11.270474
sensor.total_house_power,29.00,2020-04-10 02:47:41.315163
sensor.total_house_power,30.00,2020-04-10 02:48:11.461399
sensor.total_house_power,31.00,2020-04-10 02:48:41.579399
sensor.total_house_power,32.00,2020-04-10 02:49:11.696343
sensor.total_house_power,33.00,2020-04-10 02:49:41.809643
sensor.total_house_power,34.00,2020-04-10 02:50:11.935727
sensor.total_house_power,35.00,2020-04-10 02:50:42.034729
sensor.total_house_power,36.00,2020-04-10 02:51:12.123376
sensor.total_house_power,37.00,2020-04-10 02:51:42.255844
sensor.total_house_power,38.00,2020-04-10 02:52:12.326791
sensor.total_house_power,39.00,2020-04-10 02:52:42.443639
sensor.total_house_power,1.00,2020-04-10 02:53:43.322904
sensor.total_house_power,2.00,2020-04-10 02:54:13.246981
sensor.total_house_power,3.00,2020-04-10 02:54:43.341286
sensor.total_house_power,4.00,2020-04-10 02:55:13.387542
sensor.total_house_power,5.00,2020-04-10 02:55:43.483168
sensor.total_house_power,6.00,2020-04-10 02:56:13.546364
sensor.total_house_power,7.00,2020-04-10 02:56:43.632035
sensor.total_house_power,8.00,2020-04-10 02:57:13.690472
sensor.total_house_power,9.00,2020-04-10 02:57:43.764757
sensor.total_house_power,10.00,2020-04-10 02:58:13.856558
sensor.total_house_power,11.00,2020-04-10 02:58:43.956029
sensor.total_house_power,12.00,2020-04-10 02:59:13.993518
sensor.total_house_power,13.00,2020-04-10 02:59:44.076200
sensor.total_house_power,14.00,2020-04-10 03:00:14.151518
sensor.total_house_power,-12.41,2020-04-10 16:58:35.996749
sensor.total_house_power,209.57,2020-04-10 16:59:07.065929
sensor.total_house_power,-0.15,2020-04-10 16:59:37.007896
sensor.total_house_power,63.46,2020-04-10 17:00:08.004731
sensor.total_house_power,-50.48,2020-04-10 17:00:37.009817
sensor.total_house_power,65.22,2020-04-10 17:01:07.009753
sensor.total_house_power,17.83,2020-04-10 17:01:37.004908
sensor.total_house_power,59.06,2020-04-10 17:02:07.009763
sensor.total_house_power,22.01,2020-04-10 17:02:37.005785
sensor.total_house_power,-42.27,2020-04-10 17:03:07.006156
sensor.total_house_power,8.96,2020-04-10 17:03:38.007611
sensor.total_house_power,5.05,2020-04-10 17:04:08.012579
sensor.total_house_power,285.14,2020-04-10 17:21:15.004940
sensor.total_house_power,1185.58,2020-04-10 17:21:44.003230
sensor.total_house_power,51.47,2020-04-10 17:22:14.004998
sensor.total_house_power,8.33,2020-04-10 17:22:44.007798
sensor.total_house_power,1571.72,2020-04-10 17:23:14.727501
sensor.total_house_power,3.80,2020-04-10 17:23:45.006256
sensor.total_house_power,28.26,2020-04-10 17:24:15.007051
sensor.total_house_power,-13.80,2020-04-10 17:24:44.967362
sensor.total_house_power,800.55,2020-04-10 17:25:17.007699
sensor.total_house_power,15.67,2020-04-10 17:25:46.006821
sensor.total_house_power,19.75,2020-04-10 17:26:17.038856
sensor.total_house_power,248.94,2020-04-10 17:26:47.003583
sensor.total_house_power,84.69,2020-04-10 17:27:17.006096
sensor.total_house_power,175.85,2020-04-10 17:27:49.005796
sensor.total_house_power,-36.37,2020-04-10 17:28:17.005195
sensor.total_house_power,0.00,2020-04-10 17:28:47.042362
sensor.total_house_power,-22.00,2020-04-10 17:29:18.006356
sensor.total_house_power,148.88,2020-04-10 17:29:48.004920
sensor.total_house_power,51.60,2020-04-10 17:30:18.007555
sensor.total_house_power,700.37,2020-04-10 17:30:49.612965
sensor.total_house_power,22.44,2020-04-10 17:31:18.003997
sensor.total_house_power,51.16,2020-04-10 17:31:49.012467
sensor.total_house_power,-14.45,2020-04-10 17:32:18.232301
sensor.total_house_power,-30.29,2020-04-10 17:32:49.005311
sensor.total_house_power,60.92,2020-04-10 17:33:19.068211
sensor.total_house_power,755.14,2020-04-10 17:33:49.008542
sensor.total_house_power,39.14,2020-04-10 17:34:19.126628
sensor.total_house_power,-32.99,2020-04-10 17:34:49.101360
sensor.total_house_power,27.89,2020-04-10 17:35:19.092469
sensor.total_house_power,190.24,2020-04-10 17:35:52.165573
sensor.total_house_power,49.29,2020-04-10 17:36:20.019994
sensor.total_house_power,30.83,2020-04-10 17:37:20.004427
sensor.total_house_power,86.11,2020-04-10 17:37:50.006826
sensor.total_house_power,68.57,2020-04-10 17:38:20.007757
sensor.total_house_power,-63.35,2020-04-10 17:38:50.008215
